City	Population	Latitude	Longitude	Latitude.Point.From	Longitude.Point.From	To	From	Value	Time	Longitude.Point.To	Latitude.Point.To
Montreal	3256300	45.52	-73.57	45.5149932989243	-73.5775211020605	134	141	3038.27622766839	2016-11-26 00:00:02	-123.128493203649	49.2735917224031
Vancouver	1836500	49.28	-123.13	49.2811549245872	-123.144509923472	264	808	4531.69011871796	2016-11-26 00:00:03	-78.8515872663179	43.8889832790539
Toronto	4551800	43.65	-79.38	43.6537397212174	-79.385781910023	236	862	4362.35642875545	2016-11-26 00:00:04	-75.7622370954985	45.4158849981482
Charlottetown	39900	46.24	-63.14	46.2335272031658	-63.145172569421	534	233	742.39288745448	2016-11-26 00:00:05	-80.2672231834879	43.1470553225395
Quebec	643200	46.82	-71.23	46.8265250587951	-71.2285700415243	871	834	739.597894484177	2016-11-26 00:00:06	-73.6982947877441	45.5270650005474
Vancouver	1836500	49.28	-123.13	49.2767817763524	-123.143129204745	642	969	2377.10626595654	2016-11-26 00:00:07	-80.5074535046073	43.4655900720127
Sault sainte marie	66700	46.53	-84.35	46.5260965362572	-84.3489130646207	916	657	1585.903684597	2016-11-26 00:00:08	-124.332346353463	49.327900626727
Vancouver	1836500	49.28	-123.13	49.2877642471655	-123.122837723847	316	611	1961.42512087245	2016-11-26 00:00:09	-80.2608622829364	43.5639289273641
Edmonton	812400	53.57	-113.54	53.5641757051379	-113.536931113602	232	729	2843.68010159815	2016-11-26 00:00:10	-80.5012550674117	43.4661531114813
Vancouver	1836500	49.28	-123.13	49.2848105502655	-123.12946346863	624	48	2669.13849369157	2016-11-26 00:00:11	-106.668627061624	52.1519232213619
Toronto	4551800	43.65	-79.38	43.6537397212174	-79.385781910023	431	862	1958.27198259067	2016-11-26 00:00:12	-79.3818101745536	43.6470518985733
Red deer	71800	52.27	-113.83	52.2666093610786	-113.822538958117	936	488	4711.23472107574	2016-11-26 00:00:13	-79.3761249786856	43.6545579857359
Saskatoon	195000	52.15	-106.66	52.1532116872201	-106.63861066987	663	217	4189.73994064145	2016-11-26 00:00:14	-110.689608530857	50.0317030157953
Ottawa	863000	45.42	-75.71	45.4216081391806	-75.699743381446	466	376	2345.97370865522	2016-11-26 00:00:15	-80.2644927096157	43.1454615884265
Toronto	4551800	43.65	-79.38	43.646265296884	-79.3730338301631	98	121	3051.72673400957	2016-11-26 00:00:16	-73.8186357501864	45.5188285855797
Montreal	3256300	45.52	-73.57	45.517630250294	-73.7154952115213	928	42	1117.53665141296	2016-11-26 00:00:17	-78.8650388028353	43.8869093177182
Edmonton	812400	53.57	-113.54	53.5699845689968	-113.542565448331	702	613	518.659940571524	2016-11-26 00:00:18	-79.6833548835458	44.3866848810979
Toronto	4551800	43.65	-79.38	43.6468717065797	-79.3771378952508	660	354	4278.04245749721	2016-11-26 00:00:19	-73.3714222147645	45.5184573450336
Montreal	3256300	45.52	-73.57	45.5235430021174	-73.7299472075049	598	566	4155.33218024066	2016-11-26 00:00:20	-79.3860094637551	43.6462793201247
Port alberni	21100	49.27	-124.82	49.2677348014464	-124.809005670108	826	350	3737.88157935487	2016-11-26 00:00:21	-79.3715997919538	43.6522631649919
Rimouski	37300	48.44	-68.54	48.4362123898048	-68.5370046389902	585	302	2103.98599894252	2016-11-26 00:00:22	-123.135553360044	49.2867241337666
Quebec	643200	46.82	-71.23	46.8211735480855	-71.2222423506878	912	655	750.827770121396	2016-11-26 00:00:23	-97.1671933067241	49.8862481079762
Vancouver	1836500	49.28	-123.13	49.2739571033563	-123.120791972648	466	161	921.394798567053	2016-11-26 00:00:24	-80.2644927096157	43.1454615884265
Ottawa	863000	45.42	-75.71	45.4164157534918	-75.7049575492227	698	671	2009.16046532802	2016-11-26 00:00:25	-75.6976952730562	45.4208368370132
Campbell river	32400	49.99	-125.23	49.9859216279633	-125.231797799803	753	637	4874.87424149876	2016-11-26 00:00:26	-79.3861900915676	43.6492437267112
Vancouver	1836500	49.28	-123.13	49.2751178515384	-123.127598215544	964	989	3586.08861360699	2016-11-26 00:00:27	-82.3838117506522	42.9906188656805
Toronto	4551800	43.65	-79.38	43.6455963505369	-79.3860962219761	465	415	1535.82814787515	2016-11-26 00:00:28	-80.9793044592839	43.3613181978588
Sept-iles	23200	50.22	-66.38	50.2257266793524	-66.3822445685607	381	720	2891.63059002021	2016-11-26 00:00:29	-79.8489246014822	43.254547569871
Vancouver	1836500	49.28	-123.13	49.2790067232887	-123.115849531933	739	303	433.069857663941	2016-11-26 00:00:30	-57.9636211059737	48.9631821442323
Sherbrooke	129000	45.4	-71.9	45.3926759407182	-71.8806888245256	960	398	1157.35615490703	2016-11-26 00:00:31	-123.403165004158	48.428966612834
