City.From	Latitude.Point.From	Longitude.Point.From	To	From	Value	Time	Longitude.Point.To	Latitude.Point.To	City.To
Cornwall	44.6623579038758	-75.0945305365518	887	884	1939.64868916664	2016-11-26 00:00:02	-79.045539903527	45.4389967203462	Ottawa
Sarnia	43.0031792207479	-82.8979327287158	418	429	346.253729367163	2016-11-26 00:00:03	-96.9335295828627	49.6594889812284	Winnipeg
Toronto	44.0042853929756	-79.2292338200807	434	472	1459.55721798819	2016-11-26 00:00:04	-122.750113701416	53.655508877222	Prince george
Oshawa	43.6051529922214	-78.7314018011714	800	203	1542.82599599101	2016-11-26 00:00:05	-80.5137743745226	46.3193673213346	Sudbury
Quebec	46.9415264860673	-71.4892237684316	161	756	759.358361968771	2016-11-26 00:00:06	-79.0747223073324	43.6584456851221	Toronto
Calgary	51.0124454922025	-113.866894134752	290	398	162.965787493158	2016-11-26 00:00:07	-82.2525154179284	45.5645933495121	Montreal
Winnipeg	50.2691654431754	-97.0416203591301	746	912	4090.15740812756	2016-11-26 00:00:08	-79.9326271302039	43.5326131142902	Hamilton
Calgary	50.8548808139956	-114.544307339724	93	459	4845.63531852327	2016-11-26 00:00:09	-79.3684695127631	43.5616231289672	Toronto
Montreal	45.9023242355804	-73.0500751605687	439	226	388.18769879872	2016-11-26 00:00:10	-84.5036108760762	46.3500711992186	Sault sainte marie
Hamilton	43.5363451499277	-79.6490936593539	719	430	736.527617182583	2016-11-26 00:00:11	-72.6301911104823	44.9579591748123	Saint-jean-sur-richelieu
Alma	48.2836763753792	-71.3384731246591	51	235	1321.75702800741	2016-11-26 00:00:12	-79.1966489863008	43.532244877148	Toronto
Vancouver	49.4056543077994	-123.268751758152	685	86	4429.67645730823	2016-11-26 00:00:13	-122.924487822443	49.6837911712703	Vancouver
Montreal	45.2662953493358	-62.6933772691019	727	848	3604.11285681184	2016-11-26 00:00:14	-80.3807637178612	43.2521000378445	Hamilton
Calgary	51.1272932720648	-114.486203128327	145	764	3196.47900010459	2016-11-26 00:00:15	-79.442752723641	44.0674324943061	Toronto
Quebec	47.0050152806741	-71.4226355044427	157	925	447.660147352144	2016-11-26 00:00:16	-124.940433668	49.9552879066242	Courtenay
London	42.9089249368832	-80.490251919172	53	945	468.827428226359	2016-11-26 00:00:17	-78.9857096701375	43.8740139642667	Toronto
Hamilton	43.3591776170292	-79.6305688305014	903	996	1487.4697682797	2016-11-26 00:00:18	-79.6218365633916	43.2678457502429	Toronto
Georgina	44.5992798723137	-79.2437652302948	301	960	2363.80158346146	2016-11-26 00:00:19	-76.5908548179367	45.2316644524366	Ottawa
Quebec	46.597447748471	-71.5969931057394	492	426	2939.9042865145	2016-11-26 00:00:20	-122.179105894626	48.6437906741796	Abbotsford
Montreal	45.2662953493358	-62.6933772691019	671	848	3702.47200969607	2016-11-26 00:00:21	-63.3206651677289	44.8840432420192	Halifax
Vancouver	49.2380828588377	-123.555043336655	744	726	3305.41361981304	2016-11-26 00:00:22	-79.1144605133927	43.5438437143736	Toronto
Ottawa	45.0556630751699	-75.9453830527974	828	92	3289.64816005901	2016-11-26 00:00:23	-67.2343060807482	45.5100933360449	Saint john
Toronto	43.3042981025116	-79.1325640140867	582	487	3798.16170925042	2016-11-26 00:00:24	-123.455108880301	49.0329481760878	Vancouver
